citation,title,executed_test,test_ids,evidence_tier,positive_case,negative_or_mutation_case,interaction_or_boundary_case,coverage,notes
5.2,Grade 1 symbol mode,YES,punct_question_standing_alone; grade1_numeric_letters,OFFICIAL,YES,YES,YES,PARTIAL,related rule-family evidence only; no test citation names this subrule
5.3,Grade 1 word/passage/terminator,NO,,,NO,NO,NO,UNTESTED,requires explicit indicator/translator-option evidence not generated by plain-text en-ueb-g1
5.4,Grade 1 word/passage/terminator,NO,,,NO,NO,NO,UNTESTED,requires explicit indicator/translator-option evidence not generated by plain-text en-ueb-g1
5.5,Grade 1 word/passage/terminator,NO,,,NO,NO,NO,UNTESTED,requires explicit indicator/translator-option evidence not generated by plain-text en-ueb-g1
5.6,Numeric indicator sets Grade 1 mode,YES,grade1_numeric_letters; grade1_numeric_capital; grade1_numeric_hyphen_cap; num_zero,OFFICIAL,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
5.7,Grade 1 and capitalization,YES,grade1_numeric_hyphen_cap,OFFICIAL,YES,YES,YES,PARTIAL,related rule-family evidence only; no test citation names this subrule; executed evidence includes an unresolved difference or source-policy case
5.8,Grade 1 and capitalization,YES,grade1_indicator_order,DERIVED,YES,YES,NO,PARTIAL,executed evidence includes an unresolved difference or source-policy case
5.10,Optional Grade 1 indicator,YES,grade1_plain_no_indicator,OFFICIAL,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
5.11,Grade 1 text indicator policy,YES,punct_comma_between_letters; grade1_plain_no_indicator; punct_question_standing_alone; num_lower_a_j,DERIVED; OFFICIAL,YES,YES,YES,COVERED,
6.1,Digits and numeric-mode symbols,YES,num_zero; num_multi,OFFICIAL,YES,NO,NO,COVERED,
6.2,Digits and numeric-mode symbols,YES,num_decimal; num_thousands_comma,OFFICIAL,YES,NO,NO,COVERED,
6.3,Numeric termination and letter interactions,YES,cap_number_then_capital; num_time; num_decimal_lower,DERIVED; OFFICIAL,YES,NO,NO,COVERED,
6.4,Numeric termination and letter interactions,YES,num_period_before_number,OFFICIAL,YES,NO,NO,COVERED,
6.5,Numeric termination and letter interactions,YES,cap_number_then_word; num_lower_a_j; num_lower_k_z; num_decimal_lower; grade1_numeric_letters; grade1_numeric_capital; grade1_numeric_hyphen_cap; num_ordinal,DERIVED; OFFICIAL,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
6.6,Numeric spaces,YES,num_thousands_space; num_clear_numeric_space; num_thousands_nbsp,DERIVED; OFFICIAL,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
6.7,"Dates, time, coinage, ordinals",YES,num_time; num_date; num_currency; symbols_currency_amount; num_ordinal,OFFICIAL; DERIVED,YES,NO,NO,COVERED,
7.1,General punctuation,YES,punct_basic; punct_sentence; punct_abbreviation_period; punct_comma_between_letters; brackets_round; brackets_square; brackets_curly,DERIVED,YES,YES,YES,COVERED,
7.2,"Hyphen, dash, long dash",YES,dash_hyphenated; dash_en; dash_em; dash_print_double_hyphen,DERIVED; OFFICIAL,YES,YES,YES,COVERED,
7.3,"Ellipsis, solidus, question mark",YES,punct_ellipsis,OFFICIAL,YES,NO,NO,COVERED,
7.4,"Ellipsis, solidus, question mark",YES,punct_solidus,OFFICIAL,YES,NO,NO,COVERED,
7.5,"Ellipsis, solidus, question mark",YES,punct_question_standing_alone; punct_question_ordinary,OFFICIAL,YES,YES,YES,COVERED,
7.6.1,Quotation marks and apostrophe basics,YES,quote_curly_double; quote_ascii_double; quote_next_punctuation,OFFICIAL; DERIVED,YES,NO,NO,COVERED,
7.6.2,Quotation marks and apostrophe basics,YES,quote_curly_single; quote_ascii_single_pair,OFFICIAL; DERIVED,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
7.6.3,Quotation marks and apostrophe basics,YES,quote_nested,OFFICIAL,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
7.6.4,Quotation marks and apostrophe basics,NO,,,NO,NO,NO,UNTESTED,requires explicit indicator/translator-option evidence not generated by plain-text en-ueb-g1
7.6.5,Quotation marks and apostrophe basics,YES,quote_ascii_double,DERIVED,YES,NO,NO,COVERED,
7.6.6,Quotation marks and apostrophe basics,YES,apostrophe_mid_ascii; apostrophe_possessive_ascii; apostrophe_mid_curly; apostrophe_possessive_curly,OFFICIAL,YES,NO,NO,COVERED,
7.6.7,Quote/apostrophe ambiguity avoidance,YES,quote_internal_two_cell,OFFICIAL,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
7.6.8,Quote/apostrophe ambiguity avoidance,YES,quote_standing_alone_double,DERIVED,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
7.6.9,Quote/apostrophe ambiguity avoidance,YES,quote_g1_order,DERIVED,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
7.6.10,Quote/apostrophe ambiguity avoidance,YES,quote_standing_alone_single,DERIVED,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
7.6.12,Translation-software quote/apostrophe guidance,NO,,,NO,NO,NO,UNTESTED,requires explicit indicator/translator-option evidence not generated by plain-text en-ueb-g1
7.6.13,Translation-software quote/apostrophe guidance,YES,quote_ascii_single_pair; quote_nested,DERIVED; OFFICIAL,YES,YES,YES,PARTIAL,related rule-family evidence only; no test citation names this subrule; executed evidence includes an unresolved difference or source-policy case
7.6.14,Translation-software quote/apostrophe guidance,YES,apostrophe_leading_tis,DERIVED,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
7.6.15,Translation-software quote/apostrophe guidance,YES,quote_ascii_single_pair; apostrophe_mid_ascii; apostrophe_mid_curly; apostrophe_leading_tis,DERIVED; OFFICIAL,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
8.1,Capital letters and isolated capitals,YES,cap_word; cap_isolated,DERIVED; OFFICIAL,YES,NO,NO,COVERED,
8.2,Capital letters and isolated capitals,YES,cap_word; cap_multiple_words,DERIVED,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
8.3,Capital letters and isolated capitals,YES,cap_isolated; cap_word; cap_number_then_capital; alphabet_upper_a,OFFICIAL; DERIVED,YES,NO,NO,COVERED,
8.4,Capitalised word mode,YES,cap_all_word; cap_multiple_words; cap_number_then_word; cap_punctuation,DERIVED,YES,YES,YES,COVERED,
8.5,Capitalised passage and terminator,YES,cap_passage,OFFICIAL,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
8.6,Capitalised passage and terminator,YES,cap_passage,OFFICIAL,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
8.7,Indicator placement and choice,YES,cap_punctuation; cap_number_then_capital,DERIVED,YES,YES,YES,COVERED,
8.8,Indicator placement and choice,YES,cap_all_word; cap_word,DERIVED,YES,NO,NO,COVERED,
9.1,"Italic, bold, underline typeforms",YES,typeform_italic; typeform_bold; typeform_underline,DERIVED,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
9.2,"Italic, bold, underline typeforms",YES,typeform_number_symbol; typeform_italic,OFFICIAL; DERIVED,YES,NO,NO,COVERED,
9.3,"Italic, bold, underline typeforms",YES,typeform_number,DERIVED,YES,NO,NO,COVERED,
9.4,"Italic, bold, underline typeforms",YES,typeform_passage,DERIVED,YES,NO,NO,COVERED,
9.7,Typeform placement and multiple indicators,YES,typeform_word_punctuation,DERIVED,YES,NO,NO,COVERED,
9.8,Typeform placement and multiple indicators,YES,typeform_multiple,DERIVED,YES,NO,NO,COVERED,
