id,family,citation,source,source_codepoints,expected_braille,expected_dot_notation,accepted_braille,accepted_dot_notation,liblouis_braille,liblouis_dot_notation,backward_result,status,evidence_tier,official_example_available,upstream_test,actual_gap_classification,observed_difference,notes,typeform_spec,backward_error
alphabet_upper_r,Alphabet,4.1,R,U+0052,⠠⠗,6 1235,,,⠠⠗,6 1235,R,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_s,Alphabet,4.1,S,U+0053,⠠⠎,6 234,,,⠠⠎,6 234,S,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_t,Alphabet,4.1,T,U+0054,⠠⠞,6 2345,,,⠠⠞,6 2345,T,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_u,Alphabet,4.1,U,U+0055,⠠⠥,6 136,,,⠠⠥,6 136,U,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_v,Alphabet,4.1,V,U+0056,⠠⠧,6 1236,,,⠠⠧,6 1236,V,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_w,Alphabet,4.1,W,U+0057,⠠⠺,6 2456,,,⠠⠺,6 2456,W,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_x,Alphabet,4.1,X,U+0058,⠠⠭,6 1346,,,⠠⠭,6 1346,X,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_y,Alphabet,4.1,Y,U+0059,⠠⠽,6 13456,,,⠠⠽,6 13456,Y,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_z,Alphabet,4.1,Z,U+005A,⠠⠵,6 1356,,,⠠⠵,6 1356,Z,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
word_hello,Alphabet,"4.1, 2.5.5",hello,U+0068 U+0065 U+006C U+006C U+006F,⠓⠑⠇⠇⠕,125 15 123 123 135,,,⠓⠑⠇⠇⠕,125 15 123 123 135,hello,PASS,DERIVED,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,,,
word_braille_validator,Alphabet,"4.1, 2.5.5",Braille Validator,U+0042 U+0072 U+0061 U+0069 U+006C U+006C U+0065 U+0020 U+0056 U+0061 U+006C U+0069 U+0064 U+0061 U+0074 U+006F U+0072,⠠⠃⠗⠁⠊⠇⠇⠑⠀⠠⠧⠁⠇⠊⠙⠁⠞⠕⠗,6 12 1235 1 24 123 123 15 0 6 1236 1 123 24 145 1 2345 135 1235,,,⠠⠃⠗⠁⠊⠇⠇⠑⠀⠠⠧⠁⠇⠊⠙⠁⠞⠕⠗,6 12 1235 1 24 123 123 15 0 6 1236 1 123 24 145 1 2345 135 1235,Braille Validator,PASS,DERIVED,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,,,
word_ordinary,Alphabet,"4.1, 2.5.5",ordinary words,U+006F U+0072 U+0064 U+0069 U+006E U+0061 U+0072 U+0079 U+0020 U+0077 U+006F U+0072 U+0064 U+0073,⠕⠗⠙⠊⠝⠁⠗⠽⠀⠺⠕⠗⠙⠎,135 1235 145 24 1345 1 1235 13456 0 2456 135 1235 145 234,,,⠕⠗⠙⠊⠝⠁⠗⠽⠀⠺⠕⠗⠙⠎,135 1235 145 24 1345 1 1235 13456 0 2456 135 1235 145 234,ordinary words,PASS,DERIVED,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,,,
cap_isolated,Capitalization,8.3.1,A,U+0041,⠠⠁,6 1,,,⠠⠁,6 1,A,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; yaml/capitalization.yaml; yaml/capsword.yaml,,exact,Also covered by the alphabet list.,,
cap_word,Capitalization,"8.1, 8.3.1",Hello,U+0048 U+0065 U+006C U+006C U+006F,⠠⠓⠑⠇⠇⠕,6 125 15 123 123 135,,,⠠⠓⠑⠇⠇⠕,6 125 15 123 123 135,Hello,PASS,DERIVED,YES,en-ueb-g1_harness.yaml; yaml/capitalization.yaml; yaml/capsword.yaml,,exact,,,
cap_all_word,Capitalization,"8.4, 8.8",ALL,U+0041 U+004C U+004C,⠠⠠⠁⠇⠇,6 6 1 123 123,⠠⠁⠠⠇⠠⠇,6 1 6 123 6 123,⠠⠠⠁⠇⠇,6 6 1 123 123,ALL,PASS,DERIVED,YES,en-ueb-g1_harness.yaml; yaml/capitalization.yaml; yaml/capsword.yaml,,exact,Capitalised word mode is the canonical form.,,
cap_multiple_words,Capitalization,8.4,AB CD,U+0041 U+0042 U+0020 U+0043 U+0044,⠠⠠⠁⠃⠀⠠⠠⠉⠙,6 6 1 12 0 6 6 14 145,,,⠠⠠⠁⠃⠀⠠⠠⠉⠙,6 6 1 12 0 6 6 14 145,AB CD,PASS,DERIVED,YES,en-ueb-g1_harness.yaml; yaml/capitalization.yaml; yaml/capsword.yaml,,exact,,,
cap_number_then_word,Capitalization,"6.5.2, 8.4",123 CARD,U+0031 U+0032 U+0033 U+0020 U+0043 U+0041 U+0052 U+0044,⠼⠁⠃⠉⠀⠠⠠⠉⠁⠗⠙,3456 1 12 14 0 6 6 14 1 1235 145,,,⠼⠁⠃⠉⠀⠠⠠⠉⠁⠗⠙,3456 1 12 14 0 6 6 14 1 1235 145,123 CARD,PASS,DERIVED,YES,en-ueb-g1_harness.yaml; yaml/capitalization.yaml; yaml/capsword.yaml,,exact,,,
cap_number_then_capital,Capitalization,"6.3, 8.3.1",123Card,U+0031 U+0032 U+0033 U+0043 U+0061 U+0072 U+0064,⠼⠁⠃⠉⠠⠉⠁⠗⠙,3456 1 12 14 6 14 1 1235 145,,,⠼⠁⠃⠉⠠⠉⠁⠗⠙,3456 1 12 14 6 14 1 1235 145,123Card,PASS,DERIVED,YES,en-ueb-g1_harness.yaml; yaml/capitalization.yaml; yaml/capsword.yaml,,exact,,,
cap_passage,Capitalization,8.5-8.6,CAUTION: WET PAINT!,U+0043 U+0041 U+0055 U+0054 U+0049 U+004F U+004E U+003A U+0020 U+0057 U+0045 U+0054 U+0020 U+0050 U+0041 U+0049 U+004E U+0054 U+0021,⠠⠠⠠⠉⠁⠥⠞⠊⠕⠝⠒⠀⠺⠑⠞⠀⠏⠁⠊⠝⠞⠖⠠⠄,6 6 6 14 1 136 2345 24 135 1345 25 0 2456 15 2345 0 1234 1 24 1345 2345 235 6 3,,,⠠⠠⠠⠉⠁⠥⠞⠊⠕⠝⠒⠀⠺⠑⠞⠀⠏⠁⠊⠝⠞⠖⠠⠄,6 6 6 14 1 136 2345 24 135 1345 25 0 2456 15 2345 0 1234 1 24 1345 2345 235 6 3,Caution: wet paint!,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; yaml/capitalization.yaml; yaml/capsword.yaml,,exact,Official passage example family; print source has three symbols-sequences.,,
cap_punctuation,Capitalization,"8.4, 8.7","Hello, WORLD!",U+0048 U+0065 U+006C U+006C U+006F U+002C U+0020 U+0057 U+004F U+0052 U+004C U+0044 U+0021,⠠⠓⠑⠇⠇⠕⠂⠀⠠⠠⠺⠕⠗⠇⠙⠖,6 125 15 123 123 135 2 0 6 6 2456 135 1235 123 145 235,,,⠠⠓⠑⠇⠇⠕⠂⠀⠠⠠⠺⠕⠗⠇⠙⠖,6 125 15 123 123 135 2 0 6 6 2456 135 1235 123 145 235,"Hello, WORLD!",PASS,DERIVED,YES,en-ueb-g1_harness.yaml; yaml/capitalization.yaml; yaml/capsword.yaml,,exact,,,
num_zero,Numeric,6.1,0,U+0030,⠼⠚,3456 245,,,⠼⠚,3456 245,0,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_multi,Numeric,6.1-6.2,1234567890,U+0031 U+0032 U+0033 U+0034 U+0035 U+0036 U+0037 U+0038 U+0039 U+0030,⠼⠁⠃⠉⠙⠑⠋⠛⠓⠊⠚,3456 1 12 14 145 15 124 1245 125 24 245,,,⠼⠁⠃⠉⠙⠑⠋⠛⠓⠊⠚,3456 1 12 14 145 15 124 1245 125 24 245,1234567890,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_decimal,Numeric,6.2,3.14,U+0033 U+002E U+0031 U+0034,⠼⠉⠲⠁⠙,3456 14 256 1 145,,,⠼⠉⠲⠁⠙,3456 14 256 1 145,3.14,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_thousands_comma,Numeric,6.2,"1,234",U+0031 U+002C U+0032 U+0033 U+0034,⠼⠁⠂⠃⠉⠙,3456 1 2 12 14 145,,,⠼⠁⠂⠃⠉⠙,3456 1 2 12 14 145,"1,234",PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_thousands_space,Numeric,"6.6, 3.23",1 234,U+0031 U+0020 U+0032 U+0033 U+0034,⠼⠁⠀⠼⠃⠉⠙,3456 1 0 3456 12 14 145,,,⠼⠁⠀⠼⠃⠉⠙,3456 1 0 3456 12 14 145,1 234,PASS-PROVISIONAL,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,"V1 plain-text policy: without explicit numeric-grouping semantics, treat the blank as an ordinary space. This is PASS-PROVISIONAL, not proof that every printed `1 234` is ordinary spacing.",,
num_clear_numeric_space,Numeric,"6.6, 6.6.1",3 245 000,U+0033 U+0020 U+0032 U+0034 U+0035 U+0020 U+0030 U+0030 U+0030,⠼⠉⠐⠃⠙⠐⠚⠚⠚,3456 14 5 12 145 5 245 245 245,,,⠼⠉⠀⠼⠃⠙⠑⠀⠼⠚⠚⠚,3456 14 0 3456 12 145 15 0 3456 245 245 245,3 245 000,FAIL,DERIVED,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,TABLE_GAP,expected output differs,"The source is explicitly treated as one grouped number for this probe, following the official population example; the plain-text Liblouis call has no semantic numeric-grouping input.",,
num_thousands_nbsp,Numeric,6.6,1 234,U+0031 U+00A0 U+0032 U+0033 U+0034,⠼⠁⠐⠃⠉⠙,3456 1 5 12 14 145,,,⠼⠁⠐⠃⠉⠙,3456 1 5 12 14 145,1 234,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,"NBSP is used as an explicit numeric-space probe; expected is number sign, 1, numeric-space+2, 3, 4.",,
num_time,Numeric,"6.3, 6.7",7:30,U+0037 U+003A U+0033 U+0030,⠼⠛⠒⠼⠉⠚,3456 1245 25 3456 14 245,,,⠼⠛⠒⠼⠉⠚,3456 1245 25 3456 14 245,7:30,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_date,Numeric,6.7,12/31/2024,U+0031 U+0032 U+002F U+0033 U+0031 U+002F U+0032 U+0030 U+0032 U+0034,⠼⠁⠃⠸⠌⠼⠉⠁⠸⠌⠼⠃⠚⠃⠙,3456 1 12 456 34 3456 14 1 456 34 3456 12 245 12 145,,,⠼⠁⠃⠸⠌⠼⠉⠁⠸⠌⠼⠃⠚⠃⠙,3456 1 12 456 34 3456 14 1 456 34 3456 12 245 12 145,12/31/2024,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_currency,Numeric,"3.10, 6.7",$19.95,U+0024 U+0031 U+0039 U+002E U+0039 U+0035,⠈⠎⠼⠁⠊⠲⠊⠑,4 234 3456 1 24 256 24 15,,,⠈⠎⠼⠁⠊⠲⠊⠑,4 234 3456 1 24 256 24 15,$19.95,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_ordinal,Numeric,6.5-6.7,1st,U+0031 U+0073 U+0074,⠼⠁⠎⠞,3456 1 234 2345,,,⠼⠁⠎⠞,3456 1 234 2345,1st,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_lower_a_j,Numeric,6.5.2,3b,U+0033 U+0062,⠼⠉⠰⠃,3456 14 56 12,,,⠼⠉⠰⠃,3456 14 56 12,3b,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_lower_k_z,Numeric,6.5.2,3m,U+0033 U+006D,⠼⠉⠍,3456 14 134,,,⠼⠉⠍,3456 14 134,3m,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_decimal_lower,Numeric,6.5.2,4.2b,U+0034 U+002E U+0032 U+0062,⠼⠙⠲⠃⠰⠃,3456 145 256 12 56 12,,,⠼⠙⠲⠃⠰⠃,3456 145 256 12 56 12,4.2b,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,,,
num_period_before_number,Numeric,6.4.1,.7,U+002E U+0037,⠼⠲⠛,3456 256 1245,,,⠼⠲⠛,3456 256 1245,.7,PASS,OFFICIAL,YES,en-ueb-g1_harness.yaml; en-ueb-math.yaml; yaml/numericmode.yaml,,exact,Official rule 6.4.1 example family: a period before a number takes the numeric prefix before the period.,,
punct_basic,Punctuation,7.1,"comma, semicolon; colon:",U+0063 U+006F U+006D U+006D U+0061 U+002C U+0020 U+0073 U+0065 U+006D U+0069 U+0063 U+006F U+006C U+006F U+006E U+003B U+0020 U+0063 U+006F U+006C U+006F U+006E U+003A,⠉⠕⠍⠍⠁⠂⠀⠎⠑⠍⠊⠉⠕⠇⠕⠝⠆⠀⠉⠕⠇⠕⠝⠒,14 135 134 134 1 2 0 234 15 134 24 14 135 123 135 1345 23 0 14 135 123 135 1345 25,,,⠉⠕⠍⠍⠁⠂⠀⠎⠑⠍⠊⠉⠕⠇⠕⠝⠆⠀⠉⠕⠇⠕⠝⠒,14 135 134 134 1 2 0 234 15 134 24 14 135 123 135 1345 23 0 14 135 123 135 1345 25,"comma, semicolon; colon:",PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
punct_sentence,Punctuation,7.1,Full stop. Exclamation! Question?,U+0046 U+0075 U+006C U+006C U+0020 U+0073 U+0074 U+006F U+0070 U+002E U+0020 U+0045 U+0078 U+0063 U+006C U+0061 U+006D U+0061 U+0074 U+0069 U+006F U+006E U+0021 U+0020 U+0051 U+0075 U+0065 U+0073 U+0074 U+0069 U+006F U+006E U+003F,⠠⠋⠥⠇⠇⠀⠎⠞⠕⠏⠲⠀⠠⠑⠭⠉⠇⠁⠍⠁⠞⠊⠕⠝⠖⠀⠠⠟⠥⠑⠎⠞⠊⠕⠝⠦,6 124 136 123 123 0 234 2345 135 1234 256 0 6 15 1346 14 123 1 134 1 2345 24 135 1345 235 0 6 12345 136 15 234 2345 24 135 1345 236,,,⠠⠋⠥⠇⠇⠀⠎⠞⠕⠏⠲⠀⠠⠑⠭⠉⠇⠁⠍⠁⠞⠊⠕⠝⠖⠀⠠⠟⠥⠑⠎⠞⠊⠕⠝⠦,6 124 136 123 123 0 234 2345 135 1234 256 0 6 15 1346 14 123 1 134 1 2345 24 135 1345 235 0 6 12345 136 15 234 2345 24 135 1345 236,Full stop. Exclamation! Question?,PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
punct_ellipsis,Punctuation,7.3,...,U+002E U+002E U+002E,⠲⠲⠲,256 256 256,,,⠲⠲⠲,256 256 256,…,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
punct_solidus,Punctuation,7.4,a/b,U+0061 U+002F U+0062,⠁⠸⠌⠃,1 456 34 12,,,⠁⠸⠌⠃,1 456 34 12,a/b,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,,,
punct_question_standing_alone,Punctuation,7.5.3,?,U+003F,⠰⠦,56 236,,,⠰⠦,56 236,?,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,Standalone question mark requires Grade 1 symbol indicator.,,
punct_abbreviation_period,Punctuation,"7.1.1, 7.1.3, 10.6.2",a.b,U+0061 U+002E U+0062,⠁⠲⠃,1 256 12,,,⠁⠲⠃,1 256 12,a.b,PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,No grade 1 indicator is required: the period is not a beginning-of-word dis groupsign position.,,
punct_comma_between_letters,Punctuation,"7.1.3, 10.6.5, 5.11.1","a,b",U+0061 U+002C U+0062,⠁⠰⠂⠃,1 56 2 12,,,⠁⠰⠂⠃,1 56 2 12,"a,b",PASS,DERIVED,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,"The comma cell may also be a lower groupsign between letters, so grade 1 is required before the punctuation.",,
punct_question_ordinary,Punctuation,7.5.1,what?,U+0077 U+0068 U+0061 U+0074 U+003F,⠺⠓⠁⠞⠦,2456 125 1 2345 236,,,⠺⠓⠁⠞⠦,2456 125 1 2345 236,what?,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml / en-ueb-g1_harness.yaml,,exact,Ordinary question-mark position: rule 7.5.1 says no grade 1 symbol indicator is normally required.,,
quote_curly_double,Quotes/apostrophes,7.6.1,“hello”,U+201C U+0068 U+0065 U+006C U+006C U+006F U+201D,⠦⠓⠑⠇⠇⠕⠴,236 125 15 123 123 135 356,,,⠦⠓⠑⠇⠇⠕⠴,236 125 15 123 123 135 356,"""hello""",PASS,OFFICIAL,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,,,
quote_curly_single,Quotes/apostrophes,7.6.2,‘hello’,U+2018 U+0068 U+0065 U+006C U+006C U+006F U+2019,⠠⠦⠓⠑⠇⠇⠕⠠⠴,6 236 125 15 123 123 135 6 356,,,⠠⠦⠓⠑⠇⠇⠕⠠⠴,6 236 125 15 123 123 135 6 356,"""hello""",PASS,OFFICIAL,YES,No dedicated quote/apostrophe file; partial en-ueb.yaml Grade 2 examples,,exact,,,
